"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UKM00003100","1937-05-09","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","   78",",,S","  122","H,,S"
"UKM00003100","1937-05-10","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","   61",",,S","  100","H,,S"
"UKM00003100","1937-05-11","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   39",",,S","  101","H,,S"
"UKM00003100","1937-05-12","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   56",",,S","  108","H,,S"
"UKM00003100","1937-05-13","56.499","-6.869","11.6","TIREE, UK",,,,,"  133",",,S",,,"   78","H,,S"
"UKM00003100","1937-05-14","56.499","-6.869","11.6","TIREE, UK",,,,,"  133",",,S","   78",",,S","  117","H,,S"
"UKM00003100","1937-05-15","56.499","-6.869","11.6","TIREE, UK",,,,,"  139",",,S","   78",",,S","  116","H,,S"
"UKM00003100","1937-05-16","56.499","-6.869","11.6","TIREE, UK",,,,,"  128",",,S","   67",",,S","  112","H,,S"
"UKM00003100","1937-05-17","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   56",",,S","  114","H,,S"
"UKM00003100","1937-05-18","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","   44",",,S","  107","H,,S"
"UKM00003100","1937-05-19","56.499","-6.869","11.6","TIREE, UK",,,,,"  133",",,S","   83",",,S","   93","H,,S"
"UKM00003100","1937-05-20","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   78",",,S","   97","H,,S"
"UKM00003100","1937-05-21","56.499","-6.869","11.6","TIREE, UK",,,,,"  117",",,S","   78",",,S","  102","H,,S"
"UKM00003100","1937-05-22","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   56",",,S","  118","H,,S"
"UKM00003100","1937-05-23","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","   94",",,S","  115","H,,S"
"UKM00003100","1937-05-24","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S",,,"   83","H,,S"
"UKM00003100","1937-05-25","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   94",",,S","  127","H,,S"
"UKM00003100","1937-05-26","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","   78",",,S","  132","H,,S"
"UKM00003100","1937-05-27","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","   89",",,S","  123","H,,S"
"UKM00003100","1937-05-28","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   89",",,S","  121","H,,S"
"UKM00003100","1937-05-29","56.499","-6.869","11.6","TIREE, UK",,,,,,,"  117",",,S","  139","H,,S"
"UKM00003100","1937-05-30","56.499","-6.869","11.6","TIREE, UK",,,,,"  161",",,S","  100",",,S","  122","H,,S"
"UKM00003100","1937-05-31","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   89",",,S","  117","H,,S"
"UKM00003100","1937-06-01","56.499","-6.869","11.6","TIREE, UK",,,,,"  133",",,S","   83",",,S","  100","H,,S"
"UKM00003100","1937-06-02","56.499","-6.869","11.6","TIREE, UK",,,,,"  122",",,S","   67",",,S","   96","H,,S"
"UKM00003100","1937-06-03","56.499","-6.869","11.6","TIREE, UK",,,,,"  122",",,S","   89",",,S","  109","H,,S"
"UKM00003100","1937-06-04","56.499","-6.869","11.6","TIREE, UK",,,,,"  122",",,S","  106",",,S","  121","H,,S"
"UKM00003100","1937-06-05","56.499","-6.869","11.6","TIREE, UK",,,,,"  133",",,S","  117",",,S","  126","H,,S"
"UKM00003100","1937-06-06","56.499","-6.869","11.6","TIREE, UK",,,,,,,,,"  118","H,,S"
"UKM00003100","1937-06-07","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","   89",",,S","  122","H,,S"
"UKM00003100","1937-06-08","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","   94",",,S","  121","H,,S"
"UKM00003100","1937-06-09","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","   61",",,S","  122","H,,S"
"UKM00003100","1937-06-10","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","  100",",,S","  121","H,,S"
"UKM00003100","1937-06-11","56.499","-6.869","11.6","TIREE, UK",,,,,,,"  106",",,S","  122","H,,S"
"UKM00003100","1937-06-12","56.499","-6.869","11.6","TIREE, UK",,,,,,,"  106",",,S","  152","H,,S"
"UKM00003100","1937-06-13","56.499","-6.869","11.6","TIREE, UK",,,,,,,"  117",",,S","  144","H,,S"
"UKM00003100","1937-06-14","56.499","-6.869","11.6","TIREE, UK",,,,,"  178",",,S","  106",",,S","  131","H,,S"
"UKM00003100","1937-06-15","56.499","-6.869","11.6","TIREE, UK",,,,,"  139",",,S","  100",",,S","  127","H,,S"
"UKM00003100","1937-06-16","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","  100",",,S","  127","H,,S"
"UKM00003100","1937-06-17","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","  106",",,S","  126","H,,S"
"UKM00003100","1937-06-18","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","  106",",,S","  119","H,,S"
"UKM00003100","1937-06-19","56.499","-6.869","11.6","TIREE, UK",,,,,"  133",",,S","  100",",,S","  119","H,,S"
"UKM00003100","1937-06-20","56.499","-6.869","11.6","TIREE, UK",,,,,,,"  100",",,S","  129","H,,S"
"UKM00003100","1937-06-21","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   89",",,S","  148","H,,S"
"UKM00003100","1937-06-22","56.499","-6.869","11.6","TIREE, UK",,,,,"  167",",,S","  100",",,S","  121","H,,S"
"UKM00003100","1937-06-23","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","  100",",,S","  121","H,,S"
"UKM00003100","1937-06-24","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","   94",",,S","  130","H,,S"
"UKM00003100","1937-06-25","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","  117",",,S","  130","H,,S"
"UKM00003100","1937-06-26","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  122",",,S","  135","H,,S"
"UKM00003100","1937-06-27","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","  122",",,S","  139","H,,S"
"UKM00003100","1937-06-28","56.499","-6.869","11.6","TIREE, UK",,,,,"  161",",,S","  117",",,S","  121","H,,S"
"UKM00003100","1937-06-29","56.499","-6.869","11.6","TIREE, UK",,,,,"  139",",,S","   83",",,S","  113","H,,S"
"UKM00003100","1937-06-30","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   78",",,S","  132","H,,S"
"UKM00003100","1937-07-01","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","  106",",,S","  138","H,,S"
"UKM00003100","1937-07-02","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S",,,"  136","H,,S"
"UKM00003100","1937-07-03","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","   94",",,S","  132","H,,S"
"UKM00003100","1937-07-04","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","  106",",,S","  131","H,,S"
"UKM00003100","1937-07-05","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","   78",",,S","  118","H,,S"
"UKM00003100","1937-07-06","56.499","-6.869","11.6","TIREE, UK",,,,,,,,,"  103","H,,S"
"UKM00003100","1937-07-07","56.499","-6.869","11.6","TIREE, UK",,,,,"  150",",,S","  106",",,S","  126","H,,S"
"UKM00003100","1937-07-08","56.499","-6.869","11.6","TIREE, UK",,,,,"  144",",,S","   94",",,S","  129","H,,S"
"UKM00003100","1937-07-10","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  106",",,S","  135","H,,S"
"UKM00003100","1937-07-11","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   61",",,S","  136","H,,S"
"UKM00003100","1937-07-12","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  122",",,S","  140","H,,S"
"UKM00003100","1937-07-13","56.499","-6.869","11.6","TIREE, UK",,,,,"  161",",,S","  128",",,S","  136","H,,S"
"UKM00003100","1937-07-14","56.499","-6.869","11.6","TIREE, UK",,,,,,,"  128",",,S","  143","H,,S"
"UKM00003100","1937-07-15","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  117",",,S","  144","H,,S"
"UKM00003100","1937-07-16","56.499","-6.869","11.6","TIREE, UK",,,,,"  161",",,S","  111",",,S","  143","H,,S"
"UKM00003100","1937-07-17","56.499","-6.869","11.6","TIREE, UK",,,,,,,"   89",",,S","  149","H,,S"
"UKM00003100","1937-07-18","56.499","-6.869","11.6","TIREE, UK",,,,,"  172",",,S","  139",",,S","  153","H,,S"
"UKM00003100","1937-07-19","56.499","-6.869","11.6","TIREE, UK",,,,,"  161",",,S","  122",",,S","  142","H,,S"
"UKM00003100","1937-07-20","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  117",",,S","  134","H,,S"
"UKM00003100","1937-07-21","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  122",",,S","  141","H,,S"
"UKM00003100","1937-07-22","56.499","-6.869","11.6","TIREE, UK",,,,,,,"  117",",,S","  142","H,,S"
"UKM00003100","1937-07-23","56.499","-6.869","11.6","TIREE, UK",,,,,"  161",",,S","  106",",,S","  143","H,,S"
"UKM00003100","1937-07-24","56.499","-6.869","11.6","TIREE, UK",,,,,"  167",",,S","  122",",,S","  130","H,,S"
"UKM00003100","1937-07-25","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  117",",,S","  129","H,,S"
"UKM00003100","1937-07-26","56.499","-6.869","11.6","TIREE, UK",,,,,"  156",",,S","  106",",,S","  125","H,,S"
"UKM00003100","1937-07-27","56.499","-6.869","11.6","TIREE, UK",,,,,"  139",",,S","  111",",,S","  131","H,,S"
